ticker,category,date,price,volume_ratio,price_change_pct,fwd_5d_pct,base_5d_pct,excess_5d_pct,fwd_10d_pct,base_10d_pct,excess_10d_pct,fwd_20d_pct,base_20d_pct,excess_20d_pct,fwd_30d_pct,base_30d_pct,excess_30d_pct,market_cap_busd,size_bucket,persistence_days,persistence_bucket
COHR,Networking and Optics,2026-02-06,227.68,1.63,15.6,-4.59,1.71,-6.3,9.32,1.56,7.76,10.82,-1.86,12.68,12.02,1.84,10.19,44.58708576928,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2026-03-02,298.91,1.6,37.6,-15.59,-4.81,-10.78,-17.24,-1.22,-16.03,-26.52,-11.29,-15.23,4.85,18.29,-13.44,58.53621665186001,4. over $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2026-03-20,253.63,1.99,7.6,-4.0,-1.15,-2.85,-0.16,3.59,-3.76,37.01,28.41,8.6,30.07,39.1,-9.03,49.668932552979996,3. $10B - $50B,4,2. building (3-5 days)
LITE,Networking and Optics,2024-02-06,58.84,1.51,8.4,-19.12,5.49,-24.61,-18.41,4.01,-22.41,-14.46,16.64,-31.1,-17.05,16.33,-33.37,5.277948,2. $2B - $10B,1,1. brief (1-2 days)
LITE,Networking and Optics,2024-08-15,52.26,1.85,8.9,6.37,1.88,4.49,8.17,0.98,7.19,6.74,1.26,5.48,23.48,12.37,11.11,4.687722,2. $2B - $10B,1,1. brief (1-2 days)
LITE,Networking and Optics,2024-11-08,83.85,1.51,30.3,-2.86,-4.48,1.62,6.25,3.35,2.9,7.1,8.1,-1.01,-0.75,2.63,-3.38,7.521344999999999,2. $2B - $10B,1,1. brief (1-2 days)
LITE,Networking and Optics,2025-02-10,81.93,1.56,10.5,-2.09,0.71,-2.8,-14.09,-11.89,-2.19,-24.26,-20.62,-3.64,-13.26,-14.6,1.34,7.349121000000001,2. $2B - $10B,1,1. brief (1-2 days)
LITE,Networking and Optics,2025-08-13,120.23,1.75,9.4,-3.61,-3.16,-0.45,4.67,1.55,3.12,37.14,14.44,22.7,32.34,19.15,13.19,10.784631,3. $10B - $50B,1,1. brief (1-2 days)
LITE,Networking and Optics,2025-09-03,134.12,1.54,13.7,22.93,11.97,10.96,21.79,16.57,5.21,27.8,25.42,2.38,16.74,35.92,-19.18,12.030564,3. $10B - $50B,5,2. building (3-5 days)
LITE,Networking and Optics,2025-09-17,163.34,1.92,21.8,-6.48,2.49,-8.97,4.93,7.21,-2.27,-4.14,14.98,-19.12,31.19,21.86,9.33,14.651598,3. $10B - $50B,11,4. very persistent (10+ days)
LITE,Networking and Optics,2025-11-05,232.75,1.73,47.3,9.05,-4.7,13.75,15.54,-12.88,28.42,40.86,-5.51,46.37,44.85,-12.12,56.97,20.877675,3. $10B - $50B,1,1. brief (1-2 days)
LITE,Networking and Optics,2025-11-19,268.92,1.82,15.5,14.64,5.67,8.97,21.91,9.16,12.75,25.36,0.4,24.97,32.77,9.75,23.02,24.122124,3. $10B - $50B,11,4. very persistent (10+ days)
LITE,Networking and Optics,2025-12-04,327.85,1.75,21.9,13.49,3.83,9.66,2.83,-7.7,10.53,8.91,0.77,8.14,8.84,8.33,0.51,29.408145000000005,3. $10B - $50B,12,4. very persistent (10+ days)
LITE,Networking and Optics,2026-02-05,504.42,1.56,42.3,15.67,8.43,7.24,32.38,10.64,21.74,10.71,1.92,8.79,40.03,6.87,33.16,45.246474,3. $10B - $50B,1,1. brief (1-2 days)
LITE,Networking and Optics,2026-02-20,667.77,1.53,32.4,4.96,-0.01,4.98,-16.37,-7.7,-8.67,5.78,-3.48,9.26,15.65,0.1,15.55,59.898969,4. over $50B,11,4. very persistent (10+ days)
LITE,Networking and Optics,2026-03-19,772.13,1.64,18.6,-10.79,-3.68,-7.11,7.09,-0.99,8.08,15.79,21.25,-5.46,23.03,31.75,-8.72,69.260061,4. over $50B,4,2. building (3-5 days)
LITE,Networking and Optics,2026-04-02,826.88,1.71,7.1,8.52,13.08,-4.57,8.13,22.95,-14.83,14.88,33.79,-18.91,17.39,46.07,-28.68,74.171136,4. over $50B,10,4. very persistent (10+ days)
CIEN,Networking and Optics,2024-09-27,61.81,1.52,10.0,7.9,0.24,7.65,10.77,4.1,6.67,3.74,4.18,-0.45,16.34,17.28,-0.94,8.74938610882,2. $2B - $10B,1,1. brief (1-2 days)
CIEN,Networking and Optics,2024-10-11,68.47,1.63,10.8,-4.59,0.52,-5.11,-6.35,0.35,-6.7,5.02,12.99,-7.97,2.42,16.28,-13.85,9.69212856934,2. $2B - $10B,7,3. persistent (6-9 days)
CIEN,Networking and Optics,2024-12-12,84.52,1.58,22.2,1.5,-5.96,7.47,2.53,-4.36,6.89,-1.23,-3.7,2.47,-3.74,-8.76,5.02,11.964052967439999,3. $10B - $50B,1,1. brief (1-2 days)
CIEN,Networking and Optics,2025-09-04,116.92,1.62,34.9,13.33,10.64,2.69,18.06,16.74,1.32,30.57,24.37,6.2,46.07,31.88,14.18,16.55036764024,3. $10B - $50B,1,1. brief (1-2 days)
CIEN,Networking and Optics,2025-09-18,138.04,1.72,18.1,-0.63,-1.65,1.02,10.59,5.94,4.65,23.72,11.36,12.36,36.89,16.97,19.92,19.539965352879996,3. $10B - $50B,11,4. very persistent (10+ days)
CIEN,Networking and Optics,2025-10-02,152.66,1.5,10.6,7.17,3.42,3.76,11.87,4.72,7.15,23.78,10.04,13.74,27.22,-0.88,28.09,21.60946907252,3. $10B - $50B,10,4. very persistent (10+ days)
CIEN,Networking and Optics,2025-12-19,230.34,1.54,14.2,3.76,0.1,3.66,10.35,6.41,3.94,0.67,14.58,-13.91,10.05,13.0,-2.95,32.60530005348,3. $10B - $50B,1,1. brief (1-2 days)
